categoria,subcategoria,variable,unidad,anio,valor
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2020,2454.3937958398355
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2021,2432.7761668938474
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2022,2475.4753542611265
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2023,2574.5490384625796
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2024,2536.873360218464
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2025,2566.3637757851548
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2005,1855.4812767431474
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2006,2008.5155653638765
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2007,2038.581848560368
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2008,2081.200047229589
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2009,2126.3614977345173
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2010,1983.6270407533189
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2011,2016.6281444559183
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2012,1917.884058589403
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2013,1927.0207647027785
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2014,1927.2921951948204
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2015,1911.9735962366478
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2016,1905.2793963971324
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2017,1887.5602564456947
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2018,1884.457035192128
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2019,1869.3693950588663
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2020,1816.7633420488974
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2021,1802.2353719222704
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2022,1844.5480640871262
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2023,1840.5758703257836
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2024,1838.1672976787481
COMBUSTIBLES,Combustible,CEM GAS NATURAL,[Kcal/KWh],2025,1787.6307595285257
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2005,2031.55966329253
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2006,2060.368751499051
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2007,2002.7505750860091
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2008,2042.5248639584192
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2009,2120.5246254950534
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2010,1972.6361162473809
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2011,1902.1987076574148
